   1.0000000e-03   4.7300429e-01  -2.3160577e-01   7.0461006e-01
   2.0000000e-03   4.5897965e-01  -2.4567252e-01   7.0465217e-01
   3.0000000e-03   4.4452378e-01  -2.6016970e-01   7.0469347e-01
   4.0000000e-03   4.3097712e-01  -2.7375685e-01   7.0473397e-01
   5.0000000e-03   4.1964783e-01  -2.8512584e-01   7.0477367e-01
   6.0000000e-03   4.1163713e-01  -2.9317543e-01   7.0481257e-01
   7.0000000e-03   4.0768379e-01  -2.9716686e-01   7.0485066e-01
   8.0000000e-03   4.0805147e-01  -2.9683647e-01   7.0488794e-01
   9.0000000e-03   4.1247782e-01  -2.9244660e-01   7.0492442e-01
   1.0000000e-02   4.2019554e-01  -2.8476456e-01   7.0496010e-01
   1.1000000e-02   4.3002523e-01  -2.7496973e-01   7.0499497e-01
   1.2000000e-02   4.4052905e-01  -2.6449998e-01   7.0502903e-01
   1.3000000e-02   4.5020422e-01  -2.5485806e-01   7.0506229e-01
   1.4000000e-02   4.5768932e-01  -2.4740542e-01   7.0509474e-01
   1.5000000e-02   4.6195278e-01  -2.4317360e-01   7.0512638e-01
   1.6000000e-02   4.6243577e-01  -2.4272145e-01   7.0515722e-01
   1.7000000e-02   4.5912732e-01  -2.4605993e-01   7.0518725e-01
   1.8000000e-02   4.5255988e-01  -2.5265659e-01   7.0521647e-01
   1.9000000e-02   4.4372534e-01  -2.6151954e-01   7.0524489e-01
   2.0000000e-02   4.3392355e-01  -2.7134894e-01   7.0527249e-01
   2.1000000e-02   4.2456592e-01  -2.8073337e-01   7.0529929e-01
   2.2000000e-02   4.1696368e-01  -2.8836160e-01   7.0532528e-01
   2.3000000e-02   4.1213260e-01  -2.9321786e-01   7.0535046e-01
   2.4000000e-02   4.1064377e-01  -2.9473106e-01   7.0537483e-01
   2.5000000e-02   4.1254253e-01  -2.9285586e-01   7.0539840e-01
   2.6000000e-02   4.1734744e-01  -2.8807371e-01   7.0542115e-01
   2.7000000e-02   4.2412859e-01  -2.8131451e-01   7.0544309e-01
   2.8000000e-02   4.3165260e-01  -2.7381162e-01   7.0546423e-01
   2.9000000e-02   4.3857144e-01  -2.6691311e-01   7.0548455e-01
   3.0000000e-02   4.4362595e-01  -2.6187812e-01   7.0550406e-01
   3.1000000e-02   4.4583326e-01  -2.5968950e-01   7.0552276e-01
   3.2000000e-02   4.4463022e-01  -2.6091043e-01   7.0554065e-01
   3.3000000e-02   4.3995232e-01  -2.6560541e-01   7.0555773e-01
   3.4000000e-02   4.3223795e-01  -2.7333605e-01   7.0557400e-01
   3.5000000e-02   4.2235914e-01  -2.8323032e-01   7.0558945e-01
   3.6000000e-02   4.1149126e-01  -2.9411284e-01   7.0560410e-01
   3.7000000e-02   4.0094251e-01  -3.0467542e-01   7.0561793e-01
   3.8000000e-02   3.9196941e-01  -3.1366154e-01   7.0563094e-01
   3.9000000e-02   3.8560544e-01  -3.2003771e-01   7.0564315e-01
   4.0000000e-02   3.8252674e-01  -3.2312780e-01   7.0565454e-01
   4.1000000e-02   3.8297229e-01  -3.2269283e-01   7.0566512e-01
   4.2000000e-02   3.8672700e-01  -3.1894788e-01   7.0567488e-01
   4.3000000e-02   3.9316693e-01  -3.1251691e-01   7.0568383e-01
   4.4000000e-02   4.0135666e-01  -3.0433531e-01   7.0569197e-01
   4.5000000e-02   4.1018282e-01  -2.9551647e-01   7.0569929e-01
   4.6000000e-02   4.1850340e-01  -2.8720240e-01   7.0570580e-01
   4.7000000e-02   4.2529258e-01  -2.8041891e-01   7.0571149e-01
   4.8000000e-02   4.2976296e-01  -2.7595341e-01   7.0571637e-01
   4.9000000e-02   4.3145193e-01  -2.7426850e-01   7.0572043e-01
   5.0000000e-02   4.3026504e-01  -2.7545863e-01   7.0572368e-01
   5.1000000e-02   4.2647539e-01  -2.7925072e-01   7.0572611e-01
   5.2000000e-02   4.2068341e-01  -2.8504432e-01   7.0572772e-01
   5.3000000e-02   4.1374569e-01  -2.9198283e-01   7.0572852e-01
   5.4000000e-02   4.0668324e-01  -2.9904526e-01   7.0572850e-01
   5.5000000e-02   4.0058035e-01  -3.0514732e-01   7.0572767e-01
   5.6000000e-02   3.9648386e-01  -3.0924215e-01   7.0572601e-01
   5.7000000e-02   3.9531131e-01  -3.1041223e-01   7.0572354e-01
   5.8000000e-02   3.9777361e-01  -3.0794664e-01   7.0572025e-01
   5.9000000e-02   4.0431678e-01  -3.0139937e-01   7.0571615e-01
   6.0000000e-02   4.1508517e-01  -2.9062605e-01   7.0571122e-01
   6.1000000e-02   4.2990821e-01  -2.7579727e-01   7.0570548e-01
   6.2000000e-02   4.4831166e-01  -2.5738727e-01   7.0569892e-01
   6.3000000e-02   4.6955389e-01  -2.3613765e-01   7.0569154e-01
   6.4000000e-02   4.9268663e-01  -2.1299672e-01   7.0568334e-01
   6.5000000e-02   5.1663745e-01  -1.8903688e-01   7.0567433e-01
   6.6000000e-02   5.4030935e-01  -1.6535514e-01   7.0566449e-01
   6.7000000e-02   5.6268948e-01  -1.4296436e-01   7.0565383e-01
   6.8000000e-02   5.8295639e-01  -1.2268596e-01   7.0564236e-01
   6.9000000e-02   6.0057341e-01  -1.0505665e-01   7.0563006e-01
   7.0000000e-02   6.1535472e-01  -9.0262218e-02   7.0561694e-01
   7.1000000e-02   6.2749269e-01  -7.8110309e-02   7.0560300e-01
   7.2000000e-02   6.3753818e-01  -6.8050066e-02   7.0558824e-01
   7.3000000e-02   6.4633153e-01  -5.9241139e-02   7.0557266e-01
